Timestamp,Instr1,Instr2,Instr3,Instr4,Instr5,Instr6,Instr7,Instr8,Instr9,Instr10,Instr11,Instr12,Instr13,Instr14,Instr15,Instr16,Instr17,Instr18,Instr19,Instr20
3/11/2016,-1.4166592519345356,-1.4205578148728344,-1.4267271909178685,-1.4269027953959919,-1.4248531502680053,-1.4215945911217627,-1.414041790983194,-1.4035881152366068,-1.3931331131394602,-1.3829519123035847,-1.3720938469006738,-1.360407500616554,-1.35162196693843,-1.3433838889756304,-1.3335187610209611,-1.325976281590938,-1.3190866441707707,-1.3131090685990372,-1.3092079710618996,-1.3061072967590657
3/14/2016,-1.4623013727519358,-1.4720085090279709,-1.4824828701833657,-1.4864246234119085,-1.4856935051889835,-1.4836000302863905,-1.4777122425522702,-1.468182519035918,-1.4592442199166074,-1.4498253916613542,-1.439647265829452,-1.4292965484113778,-1.4210785405528852,-1.414140823691267,-1.4055930604972664,-1.3986027338974054,-1.3930405862186874,-1.3875930402675505,-1.3842267016881136,-1.381651308502385
3/15/2016,-1.5042284372237336,-1.5146074708553412,-1.5278921347398016,-1.5352325223849603,-1.5354719773970567,-1.5335840067558353,-1.5270893274425739,-1.5174607239962175,-1.5083163816480982,-1.499283902436371,-1.4887123806303535,-1.4778814558035167,-1.4691070223075615,-1.4615630246177045,-1.4523646803701882,-1.4446775799843043,-1.4383671958609592,-1.4321215015911186,-1.4279189294154693,-1.4252989597318586
3/16/2016,-1.419843585945052,-1.4266433808481735,-1.4405224105299503,-1.4483306534817217,-1.4475914647334216,-1.4443720993863196,-1.4374309364575482,-1.428227217716756,-1.4190323096088582,-1.4101192632926784,-1.3991152144721852,-1.3879631197344837,-1.3789612565526304,-1.3704822895050233,-1.3618884320914215,-1.3548706765945866,-1.348509180254351,-1.3422549705562816,-1.338885710650292,-1.3363249014563934
3/17/2016,-1.35562618339964,-1.3602553883899333,-1.3738455157382214,-1.3822614243840543,-1.3830638155748083,-1.3817339516587874,-1.377008977315466,-1.370292030803972,-1.363144569859105,-1.3550879625711807,-1.3457835679494659,-1.3357524729847225,-1.327977175920743,-1.3208018885344697,-1.3128165686181927,-1.3064530417236078,-1.3015921632562097,-1.2969169008450123,-1.2943691012677032,-1.2926772502269195
3/18/2016,-1.3736707427925654,-1.377958853045464,-1.3910895402533239,-1.4007131910689885,-1.4033439338818008,-1.4032460427975362,-1.399098725819023,-1.3929333682181633,-1.3856359773193714,-1.377379122357104,-1.3671162265585535,-1.356781761258932,-1.3479274683419162,-1.3396202222354368,-1.3312185174206534,-1.3236334928068587,-1.317496236814902,-1.3114898518236344,-1.308383589406666,-1.3061072967590657
3/21/2016,-1.35562618339964,-1.357489222037507,-1.370396710835201,-1.3786901147030992,-1.3793765213371736,-1.3773049917184574,-1.3724610879176748,-1.3656305789834031,-1.358373665246321,-1.3502117713680102,-1.340094858987042,-1.3285009942694779,-1.3191103792891101,-1.3095108883138893,-1.3005486027498852,-1.2923963090191304,-1.2864832933754529,-1.2799151247032863,-1.2770570865078075,-1.2742109362452194
3/22/2016,-1.3423581250224887,-1.3419986904639174,-1.3531526863200987,-1.3596431297380058,-1.357867304950969,-1.3526293577651871,-1.3451737515309283,-1.3356641029940317,-1.3270220063623128,-1.317471630432435,-1.3066736938328047,-1.2944190443078285,-1.2843820924818825,-1.2741324209560712,-1.2637447051449633,-1.254911688473857,-1.2475183131566578,-1.2410539220936272,-1.2374867670566172,-1.2339207966487826
3/23/2016,-1.4124134732538474,-1.4205578148728344,-1.4353492031754194,-1.445354562080926,-1.4469769156938155,-1.4437393908234155,-1.4380806349429474,-1.4302249827827143,-1.4231216564198155,-1.4149954544958492,-1.4048039234346084,-1.3930391548351548,-1.3833946548684468,-1.3742459562452165,-1.3641886756917292,-1.3556516061892796,-1.347713976576416,-1.3406357537808788,-1.3355881840293595,-1.3312886340068384
3/24/2016,-1.4140056402591055,-1.4238772144957466,-1.4382232072612702,-1.4483306534817217,-1.450049660891845,-1.4462702250750328,-1.4400297303991432,-1.4322227478486724,-1.4238032142216421,-1.4156920532391593,-1.4055150120549111,-1.3937643027066793,-1.3841335545877493,-1.3749986895932549,-1.3649554235584989,-1.3564325357839726,-1.348509180254351,-1.34144536216858,-1.3372369473398256,-1.332967389823357
